comid,tocomid,water,snow,developed_op,developed_lw,developed_md,developed_hg,barren,forest_dcd,forest_evg,forest_mxd,shrub,grass,pasture,crops,wetland_wood,wetland_herb,basin,forest_scp,grass_scp,shrub_scp,water_scp,human_scp,barren_scp,ht,hmax,hrel,simpson_d
24127521,24126711,0,0,0,2.51,0.86,0,0,0,75.35,0,9.97,4.32,0,0,6.99,0,yakima,75.35,4.32,9.97,6.99,3.37,0,1.268261915,2.584962501,0.490630682,0.41440972
24127523,24129765,0,0,0,0,0,0,0.51,0,77.02,0,14.53,7.95,0,0,0,0,yakima,77.02,7.95,14.53,0,0,0.51,1.023770396,2.584962501,0.396048452,0.37933361
24127525,24125557,0,0,0.23,7.57,0.74,0.09,0,0,85,0,3.11,3.25,0,0,0,0,yakima,85,3.25,3.11,0,8.63,0,0.820637159,2.584962501,0.317465789,0.26802885
24127527,24125743,0,0,0,0,0,0,0,0.52,85.96,0,10.67,2.85,0,0,0,0,yakima,86.48,2.85,10.67,0,0,0,0.671983191,2.584962501,0.259958584,0.23992382
24127529,24125647,0,0,1.41,0.31,0,0,0,0,52.32,0,39.13,6.63,0,0,0.2,0,yakima,52.32,6.63,39.13,0.2,1.72,0,1.396951956,2.584962501,0.540414786,0.56845054
24127531,24125741,0,0,3,0.96,0,0,0.19,0.4,68.21,0,15.41,10.05,0,0,1.78,0,yakima,68.61,10.05,15.41,1.78,3.96,0.19,1.426903248,2.584962501,0.552001527,0.49353112
24127533,24126159,0.85,0,6.26,3.95,1.99,0.69,0,1.72,58.83,0,20.68,0.81,0,0,3.93,0.3,yakima,60.55,0.81,20.68,5.08,12.89,0,1.564103847,2.584962501,0.605077964,0.57134205
24127535,24129787,0,0,2.17,1.17,0.13,0,0.13,0.18,61.8,0,20.79,13.51,0,0,0.11,0,yakima,61.98,13.51,20.79,0.11,3.47,0.13,1.4805403,2.584962501,0.572751171,0.55316655
24127537,24125699,0,0,1.52,1.57,0,0,0,0.56,59.59,0,22.65,14.02,0,0,0.09,0,yakima,60.15,14.02,22.65,0.09,3.09,0,1.487872366,2.584962501,0.575587602,0.56628384
24127539,24126157,0,0,2.42,2.58,0,0,0,0.45,45.61,0,46.97,0.8,0,0,1.17,0,yakima,46.06,0.8,46.97,1.17,5,0,1.374108528,2.584962501,0.531577742,0.56452866
