comid,logQ_m3_div_s,logRT_vertical_hz_s_fill,junk,doc,logq_hz_vertical_m_div_s_fill,logw_m,LengthKM,no3,do
23792571,-1.644865124,5.567556068,0.081995025,3.980437688,-6.587539453,-0.007038967,1.809,2.272597367,9.660293718
23792573,2.805036678,4.219852577,4.259216438,3.241219646,-3.61830348,2.121416277,1.467,0.399667961,11.30267625
23792575,-0.265197091,4.884972692,1.419417088,4.129551535,-5.093686512,0.6744291,0.107,2.011713835,9.816858395
23792577,-0.092075275,5.746365707,1.614415219,3.750425076,-6.049683836,0.773788161,0.74,2.049116888,8.872584579
23792579,-0.265718303,4.830029396,1.418791668,4.129182981,-5.040057547,0.674110425,1.919,2.014958245,9.821511171
23792581,-0.110283807,5.321214609,1.59505178,3.922114628,-5.48106513,0.763921742,5.689,2.061825526,8.910257887
23792583,-1.536807751,5.546009064,0.184180195,4.015231558,-8.620776176,0.045028314,2.469,2.528860492,7.868382353
23792585,-1.266013178,5.902552128,0.519499853,4.387939475,-7.818499088,0.215886598,0.082,2.855283109,7.868382353
23792587,0.017727454,4.448998174,1.682417666,3.67328278,-4.501630166,0.808438028,3.092,1.724319006,9.558033941
23792589,0.233498664,2.982292827,1.909718592,3.644880768,-2.892239452,0.924256606,0.235,1.72935995,9.450305174
23792591,-0.199008046,4.825884744,1.513502596,3.683578834,-4.989797601,0.722369291,3.922,1.737060075,9.140964657
23792593,-1.210296221,5.257190228,0.574586809,4.315699576,-8.644867897,0.243955525,0.727,2.831561932,7.868382353
23792595,0.00204074,4.421519765,1.784792687,3.666470682,-7.068542129,0.860602045,2.749,1.7738058,7.868382353
23792597,-0.036994772,4.429973176,1.688522154,3.549668084,-6.822175028,0.811548499,0.52,1.84538643,9.249484422
23792599,-0.252102241,4.467451528,1.505619306,3.573617313,-7.906578315,0.718352451,0.365,1.775466536,8.978061077
23792601,-3.042805129,5.258741856,-1.274905479,2.85769403,-8.778700829,-0.69843205,0.115,0.921586674,7.868382353
23792603,-0.489187557,4.728429317,1.192790397,3.692809901,-6.52026844,0.55895407,0.592,1.976984545,9.739457635
23792605,-0.898230926,4.805729609,0.799712642,3.538665879,-7.978810701,0.35866581,0.832,2.131939725,8.988858165
23792607,-0.970463312,5.634912968,0.722510526,3.5247135,-8.3913517,0.319328358,0.608,2.238179221,9.158955781
23792609,-1.108780372,6.224708987,0.572604441,4.118261056,-7.297569464,0.242945432,5.484,2.455277162,7.868382353
23792611,-0.500329834,4.431894269,1.178671971,3.767762924,-4.717583484,0.551760188,6.319,1.983914204,9.803058001
23792613,-1.161099583,4.487083301,0.607840891,3.355161964,-5.098024321,0.260899761,3.882,2.032237011,9.185928064
23792615,-0.939429078,4.198136024,0.697438591,4.039880822,-4.7445787,0.306553241,4.084,2.265502852,10.35647486
23792617,-1.095861863,4.155905017,0.545863548,3.979996237,-4.789790256,0.229319917,3.715,2.367288681,10.65382714
23792619,-0.745591938,4.438126326,0.917510761,3.853397835,-4.867759933,0.41868849,6.704,2.308065787,9.79382844
23792767,-0.85651996,2.995222844,0.879348236,3.912419783,-3.449840528,0.399243213,0.127,2.195528626,8.500997886
23792771,-0.667770559,4.665154002,1.108057374,4.023117604,-7.342944147,0.51577933,1.32,2.661945375,7.868382353
23792773,-0.791623345,4.684269905,1.057635679,4.362339654,-7.179268837,0.490087535,0.517,2.532887247,7.868382353
23792777,-0.804366962,4.911717892,0.975266331,4.362579682,-7.490324497,0.448117178,0.841,2.510656243,7.868382353
23792799,2.83259623,4.058458984,4.279489406,3.263826476,-3.45540182,2.131746135,0.77,0.439027412,11.2319084
23792801,2.83258596,4.013566542,4.279459277,3.687651562,-3.410748846,2.131730784,0.128,0.439016893,11.23190151
23792815,1.640148131,5.610258102,3.263904396,3.276260649,-7.577873707,1.614266446,0.261,1.524566923,9.864618945
23792823,1.475641765,6.936513742,2.911996771,3.48523321,-7.407823243,1.434955953,0.062,0.662344161,10.25693735
23796481,1.862700839,3.695061696,3.299805602,3.403557943,-3.170100591,1.632559493,1.653,0.966344345,10.10641008
23796483,1.862290861,5.20864439,3.299062382,3.425932262,-6.406640053,1.632180794,2.59,0.965348326,10.1061769
23796485,1.861333019,5.063335419,3.297436956,3.39765975,-6.467122078,1.631352577,2.658,0.962877718,10.10566744
23796487,1.849091416,5.29599762,3.27696013,3.765587378,-6.919529438,1.620918845,0.643,0.920345915,10.15235521
23796489,1.849031704,4.479502201,3.276853113,3.388150284,-4.554077148,1.620864316,4.271,0.920263884,10.87068566
23796491,1.847010588,4.618074894,3.27333378,3.4241682,-4.733335972,1.61907108,1.297,0.91499085,10.1560758
23796493,1.844730061,6.936513742,3.269584877,3.756972437,-8.040958608,1.61716087,0.224,0.910283112,10.15975743
23796495,1.839970844,4.626517773,3.261429511,3.366512811,-4.920563698,1.613005396,1.531,0.891790075,10.20516838
23796497,1.839037082,5.071454048,3.259725652,3.397267098,-6.264432907,1.612137215,2.129,0.888498672,10.2143542
23796499,1.207142652,4.08906889,2.661991476,3.356912092,-4.353672028,1.307568623,5.315,1.013523881,9.994220325
23796501,1.029271205,4.335613394,2.489070431,3.409548906,-4.004588653,1.219458689,10.263,1.048330177,10.86970338
23796503,1.015232785,3.587511208,2.465545533,3.724902249,-3.262943553,1.207471847,1.073,0.998126569,10.22282109
23796505,1.012459687,6.936513742,2.46101399,3.716675592,-7.079354999,1.205162851,0.102,0.987861879,10.25542321
23796509,1.012453712,4.236744345,2.461003173,3.278714666,-3.915809218,1.205157339,0.636,0.987850089,10.25541848
23796511,1.008682631,4.294652557,2.455182564,3.705642444,-3.976642993,1.202191515,1.021,0.97675286,10.29733523
23796513,1.007454962,5.468087894,2.453212965,3.411087439,-5.167459155,1.201187929,1.05,0.972959067,10.30643785
23796515,1.002011362,5.689087926,2.444752993,3.244454862,-5.381794958,1.196877247,0.516,0.958699932,10.35724575
23796517,0.956701934,3.429582391,2.370756537,3.558525823,-3.131659027,1.159173202,1.08,0.833168396,10.44936859
23796519,0.942219758,4.506151581,2.345899076,3.491235524,-7.163675884,1.146507367,1.966,0.778610877,10.5429986
23796521,0.923706179,5.677932273,2.318647152,3.103753855,-5.586851175,1.132621462,1.24,0.753753325,10.59761794
23796523,0.922612661,5.266379833,2.316728754,3.038208093,-5.77173996,1.131643965,0.254,0.750014133,10.60673507
23796525,0.922087676,3.129309524,2.315858925,3.446666927,-2.847740987,1.131200753,0.161,0.748328436,10.61132563
23796527,0.913982889,5.813638372,2.301318706,2.859602144,-5.642694192,1.123791951,1.825,0.712864972,10.64014167
23796529,0.898856897,3.895602374,2.279107064,2.937167549,-3.637470592,1.112474264,1.594,0.692118147,10.68662421
23796531,0.874752887,3.704387282,2.236395412,2.727789001,-3.462027634,1.090711032,2.698,0.610284508,10.78372576
23796533,0.126667239,3.646769257,1.60162548,2.804090209,-3.720804414,0.767271296,1.719,0.83788755,10.43422256
23796535,0.051578638,3.573918509,1.497105267,2.487010766,-3.680190655,0.714014221,1.472,0.765346947,10.40493174
