"comid","logQ_m3_div_s","logRT_lateral_hz_s_fill","junk","doc","logq_hz_lateral_m_div_s_fill","logw_m","LengthKM","no3","do"
23781429,-0.582142159043435,4.23982686381461,0.764340550120468,1.205363407,-4.24143325915033,0.340642366559635,2.716,0.126715022751374,11.76630719
23781431,-0.702546972325073,3.78196779139561,0.57687093556865,1.333142348,-4.18010822715701,0.245119375379489,2.184,0.123067277716448,11.89871446
23781433,-0.701927436726682,4.88023900985718,0.609861092980547,1.406837777,-7.25231075286865,0.261929131568116,0.968,0.209528891234404,10.3403598
23781435,-0.247207499557375,3.23417511938204,1.01137587668841,1.417481664,-3.91941391444405,0.466516382887438,0.302,0.124103228247364,11.61754621
23781437,-0.690984678478253,3.49759936332703,0.588719779600057,1.835227305,-5.60064268112183,0.251156817906288,0.224,0.13079426006045,11.85889379
23781439,-1.014437249793,3.15125966072083,0.306425027550687,2.107493447,-5.4000506401062,0.107316765848879,0.204,0.17988507432192,10.90709173
23781441,0.331507783408229,4.21485541291514,1.54158298784839,1.456646693,-4.49261509405747,0.736677333115686,1.535,0.241682148025566,11.66335189
23781443,-1.16056528556103,3.57878808436431,0.068853493671498,0.781818182,-4.29618000806419,-0.0137350834761252,1.707,0.213565605816992,12.24366342
23781445,-0.641350740204784,3.68979787826538,0.628368492182033,1.27903413,-5.93527889251709,0.271359364498255,0.518,0.212273830761598,11.01454498
23781447,-0.356923503188999,4.22161685106951,0.927601309325722,1.43896736,-4.19182482576352,0.423830013266366,2.455,0.075241956407702,11.52005044
23781449,-0.70081449454364,3.2237045123303,0.560301258849639,1.972238654,-3.72221870625298,0.236676486702447,0.384,0.31317845477163,11.47824201
23781451,-0.224826818859106,4.45137924683636,1.09462483399873,1.178716547,-4.54888317014941,0.508934933939512,2.541,0.127133543583088,11.22727594
23781453,0.247744201256031,3.87210265696621,1.4490508368478,1.506500403,-4.16984327453392,0.689528637224925,0.665,0.22060020030993,11.70039246
23781455,-1.02760260794124,3.76763952353386,0.284250210312084,1.716291453,-4.3109424894577,0.0960178421715354,1.907,0.154044078950186,11.9631913
23781457,-1.01685956500549,3.92214393538326,0.334634669496352,1.482652869,-4.41347653405531,0.12169066526372,2.346,0.130140141282736,10.34473761
23781459,-1.02394866648796,3.24167156219482,0.287891265954026,2.108078966,-9.75690937042236,0.0978731002679551,0.126,0.154386333408616,11.9597452
23781461,-0.17944509239023,4.80272245407104,1.08547610402901,1.4190676,-6.858558177948,0.504273303549231,1.006,0.141929588324682,11.14080194
23781463,-1.04744420152073,3.97392477288133,0.235275876687052,1.660375532,-4.45786077074494,0.0710635323497279,2.692,0.072585013253892,11.4774999
23781465,-0.183179054695985,4.75126755821356,1.09222924216286,2.347962155,-4.45034259389952,0.507714287595142,7.772,0.332524733624472,11.38553192
23781467,-0.660225314676359,3.92430778500993,0.608996442692255,1.326355364,-4.12238107346609,0.261488558934222,2.037,0.214508518028788,11.0805798
23781469,-0.86078300745506,4.25126109076867,0.491809766592,1.124220847,-4.43104768019664,0.201777432662262,2.96,0.14898523070401,11.68644281
23781471,-1.05463650370359,3.48890347694292,0.294686624279443,1.103593374,-4.21575654688851,0.101335597153848,1.151,0.114999919460434,11.19465066
23781473,0.217817720520788,4.28727386546934,1.41643079730949,1.425752218,-4.63565541391781,0.672907470345729,1.619,0.213811120249358,11.72841196
23781475,-0.907473675051597,3.51307334383344,0.383186799474899,1.183608408,-3.97823080722184,0.146429846040854,1.052,0.089546910911008,11.98104448
23781477,-0.817092119983743,3.88393005309753,0.495197318365458,1.622655133,-4.24519488018606,0.203503520796239,2.126,0.067318116137456,11.58841316
23781479,-1.22018762210312,3.70859499843214,0.118297801332776,1.575522036,-4.33367245276057,0.0114586962040843,1.539,0.105276729109056,11.56334546
23781481,-1.20297369812616,3.64481226006775,0.139217700137586,1.307099139,-4.33782597003455,0.0221181905985484,1.581,0.109886428790538,11.90922198
23781483,-1.19519392008135,3.75588133213854,0.085219201044942,1.664325722,-4.43777299145628,-0.00539612507840872,2.146,0.277004453246226,11.44793128
23781485,-0.0480619258510238,3.55227135269499,1.1552570676527,1.444714994,-4.53781920364691,0.539829392934213,0.386,0.195529288384676,11.64501393
23781487,-1.26555960701682,3.62291984009178,0.0341469771060456,0.796111176,-4.42029755700704,-0.0314193908126316,1.851,0.10301484179704,10.3542979
23781489,-0.643997403438691,3.27037616733408,0.631393030712758,1.695873882,-4.61516291179632,0.272900483388764,0.358,0.084480974518086,10.73673702
23781491,-0.987809272241772,3.59825320672686,0.248708735600918,1.374237845,-4.3960419525564,0.0779080914907033,1.874,0.172969347849492,12.08439357
23781493,-0.528797264306445,4.23840515486248,0.781417857738018,1.329068189,-4.3939380232461,0.349343912709642,2.936,0.142149528279836,11.67314851
23781495,-0.901747499823101,3.72953842110039,0.358562976661056,1.42528103,-4.21302863972057,0.133883059628065,1.879,0.327510746204414,11.46694177
